id,name,wikidata,ref,gnis_feature_id
111968,San Francisco,Q62,,2411786;277302
396458,Humboldt County,Q109651,,
396459,Tulare County,Q109686,,
396460,Sacramento County,Q108131,,
396461,Marin County,Q108117,,
396462,Contra Costa County,Q108058,,
396463,Napa County,Q108137,,
396464,Nevada County,Q109681,,
396465,Mariposa County,Q156191,,
396466,Orange County,Q5925,,
396467,San Joaquin County,Q108499,,
396468,Sonoma County,Q108067,,
396469,Lassen County,Q156340,,
396470,Calaveras County,Q271613,,
396471,Tuolumne County,Q156346,,
396472,Mono County,Q156366,,
396474,Sierra County,Q156370,,
396475,Yuba County,Q196014,,
396476,Colusa County,Q271609,,
396477,Plumas County,Q156342,,
396478,Sutter County,Q156377,,
396479,Los Angeles County,Q104994,,
396480,Kings County,Q156358,,
396481,El Dorado County,Q108093,,
396482,San Diego County,Q108143,,277301
396483,Siskiyou County,Q156374,,
396484,Trinity County,Q156188,,
396485,Monterey County,Q108072,,
396486,Tehama County,Q109705,,
396488,Madera County,Q109661,,
396489,Mendocino County,Q108087,,
396490,Amador County,Q156177,,
396491,Inyo County,Q109670,,
396492,Fresno County,Q271915,,
396493,Glenn County,Q271601,,
396494,Kern County,Q108047,,
396495,Riverside County,Q108111,,
396496,San Luis Obispo County,Q49014,,
396497,Alpine County,Q108077,,
396498,San Mateo County,Q108101,,
396499,Alameda County,Q107146,,
396500,San Benito County,Q109656,,
396501,Santa Clara County,Q110739,,
396502,Lake County,Q156361,,
396503,Del Norte County,Q156186,,
396504,Merced County,Q109690,,
396505,Ventura County,Q108127,,
396506,Modoc County,Q109695,,
396507,Yolo County,Q109709,,
396508,Butte County,Q156181,,
396509,San Bernardino County,Q108053,,
396510,Santa Barbara County,Q108106,,
396511,Placer County,Q156353,,
396512,Shasta County,Q156350,,
396513,Solano County,Q108083,,
396514,Stanislaus County,Q108503,,
396515,Imperial County,Q169952,,
7870163,Santa Cruz County,Q108122,,
