id,name,locality,timezone,isMobile,isMonitor,instruments,sensors,licenses,bounds,distance,country.id,country.code,country.name,owner.id,owner.name,provider.id,provider.name,coordinates.latitude,coordinates.longitude,datetimeFirst.utc,datetimeFirst.local,datetimeLast.utc,datetimeLast.local,datetimeFirst,datetimeLast
207,MMFRA1001,,America/Los_Angeles,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 350, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]","[{'id': 33, 'name': 'US Public Domain', 'attribution': {'name': 'Unknown Governmental Organization', 'url': None}, 'dateFrom': '2016-01-30', 'dateTo': None}]","[-121.221235, 39.482481, -121.221235, 39.482481]",,155,US,United States,4,Unknown Governmental Organization,119,AirNow,39.482481,-121.221235,2016-03-06T20:00:00Z,2016-03-06T12:00:00-08:00,2016-03-16T22:00:00Z,2016-03-16T15:00:00-07:00,,
211,Felton Cal-Fire,,America/Los_Angeles,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 354, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]","[{'id': 33, 'name': 'US Public Domain', 'attribution': {'name': 'Unknown Governmental Organization', 'url': None}, 'dateFrom': '2016-01-30', 'dateTo': None}]","[-122.074603, 37.0481, -122.074603, 37.0481]",,155,US,United States,4,Unknown Governmental Organization,119,AirNow,37.0481,-122.074603,2016-03-07T15:00:00Z,2016-03-07T07:00:00-08:00,2022-04-08T18:00:00Z,2022-04-08T11:00:00-07:00,,
214,MMFRA1001,,America/Los_Angeles,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 357, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]","[{'id': 33, 'name': 'US Public Domain', 'attribution': {'name': 'Unknown Governmental Organization', 'url': None}, 'dateFrom': '2016-01-30', 'dateTo': None}]","[-121.221128, 39.482385, -121.221128, 39.482385]",,155,US,United States,4,Unknown Governmental Organization,119,AirNow,39.482385,-121.221128,2016-03-11T17:00:00Z,2016-03-11T09:00:00-08:00,2016-03-16T05:00:00Z,2016-03-15T22:00:00-07:00,,
230,Barstow,Riverside-San Bernardino-Ontario,America/Los_Angeles,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 2637, 'name': 'o3 ppm', 'parameter': {'id': 10, 'name': 'o3', 'units': 'ppm', 'displayName': 'O₃'}}, {'id': 374, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}]","[{'id': 33, 'name': 'US Public Domain', 'attribution': {'name': 'Unknown Governmental Organization', 'url': None}, 'dateFrom': '2016-01-30', 'dateTo': None}]","[-117.024756, 34.894054, -117.024756, 34.894054]",,155,US,United States,4,Unknown Governmental Organization,119,AirNow,34.894054,-117.024756,2016-03-06T20:00:00Z,2016-03-06T12:00:00-08:00,2025-12-21T11:00:00Z,2025-12-21T03:00:00-08:00,,
231,Lucerne Valley,SAN BERNARDINO,America/Los_Angeles,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 7941720, 'name': 'o3 ppm', 'parameter': {'id': 10, 'name': 'o3', 'units': 'ppm', 'displayName': 'O₃'}}, {'id': 375, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}]","[{'id': 33, 'name': 'US Public Domain', 'attribution': {'name': 'Unknown Governmental Organization', 'url': None}, 'dateFrom': '2016-01-30', 'dateTo': None}]","[-116.906874, 34.4101, -116.906874, 34.4101]",,155,US,United States,4,Unknown Governmental Organization,119,AirNow,34.4101,-116.906874,2016-03-13T10:00:00Z,2016-03-13T03:00:00-07:00,2025-12-21T11:00:00Z,2025-12-21T03:00:00-08:00,,
232,Trona - Athol and Te,Riverside-San Bernardino-Ontario,America/Los_Angeles,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 2898, 'name': 'o3 ppm', 'parameter': {'id': 10, 'name': 'o3', 'units': 'ppm', 'displayName': 'O₃'}}, {'id': 376, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}]","[{'id': 33, 'name': 'US Public Domain', 'attribution': {'name': 'Unknown Governmental Organization', 'url': None}, 'dateFrom': '2016-01-30', 'dateTo': None}]","[-117.372109, 35.774455, -117.372109, 35.774455]",,155,US,United States,4,Unknown Governmental Organization,119,AirNow,35.774455,-117.372109,2016-03-06T20:00:00Z,2016-03-06T12:00:00-08:00,2025-12-21T11:00:00Z,2025-12-21T03:00:00-08:00,,
237,San Ysidro,,America/Los_Angeles,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 401, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]","[{'id': 33, 'name': 'US Public Domain', 'attribution': {'name': 'Unknown Governmental Organization', 'url': None}, 'dateFrom': '2016-01-30', 'dateTo': None}]","[-117.029028, 32.543475, -117.029028, 32.543475]",,155,US,United States,4,Unknown Governmental Organization,119,AirNow,32.543475,-117.029028,2016-03-06T20:00:00Z,2016-03-06T12:00:00-08:00,2016-03-22T15:00:00Z,2016-03-22T08:00:00-07:00,,
239,Alamo Lake,LA PAZ,America/Phoenix,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 1084, 'name': 'o3 ppm', 'parameter': {'id': 10, 'name': 'o3', 'units': 'ppm', 'displayName': 'O₃'}}, {'id': 1085, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 1061, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 403, 'name': 'so2 ppm', 'parameter': {'id': 9, 'name': 'so2', 'units': 'ppm', 'displayName': 'SO₂'}}]","[{'id': 33, 'name': 'US Public Domain', 'attribution': {'name': 'Unknown Governmental Organization', 'url': None}, 'dateFrom': '2016-01-30', 'dateTo': None}]","[-113.558611, 34.243889, -113.558611, 34.243889]",,155,US,United States,4,Unknown Governmental Organization,119,AirNow,34.243889,-113.558611,2016-03-10T08:00:00Z,2016-03-10T01:00:00-07:00,2025-12-21T11:00:00Z,2025-12-21T04:00:00-07:00,,
276,Morro Bay,San Luis Obispo-Paso Robles,America/Los_Angeles,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 460, 'name': 'no2 ppm', 'parameter': {'id': 7, 'name': 'no2', 'units': 'ppm', 'displayName': 'NO₂'}}, {'id': 3246, 'name': 'o3 ppm', 'parameter': {'id': 10, 'name': 'o3', 'units': 'ppm', 'displayName': 'O₃'}}, {'id': 25272, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]","[{'id': 33, 'name': 'US Public Domain', 'attribution': {'name': 'Unknown Governmental Organization', 'url': None}, 'dateFrom': '2016-01-30', 'dateTo': None}]","[-120.8426, 35.36639, -120.8426, 35.36639]",,155,US,United States,4,Unknown Governmental Organization,119,AirNow,35.36639,-120.8426,2016-03-06T20:00:00Z,2016-03-06T12:00:00-08:00,2023-06-29T16:00:00Z,2023-06-29T09:00:00-07:00,,
313,RT,,America/Los_Angeles,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 14014, 'name': 'co ppm', 'parameter': {'id': 8, 'name': 'co', 'units': 'ppm', 'displayName': 'CO'}}, {'id': 526, 'name': 'no2 ppm', 'parameter': {'id': 7, 'name': 'no2', 'units': 'ppm', 'displayName': 'NO₂'}}, {'id': 14017, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]","[{'id': 33, 'name': 'US Public Domain', 'attribution': {'name': 'Unknown Governmental Organization', 'url': None}, 'dateFrom': '2016-01-30', 'dateTo': None}]","[-115.175572, 36.139881, -115.175572, 36.139881]",,155,US,United States,4,Unknown Governmental Organization,119,AirNow,36.139881,-115.175572,2016-03-06T20:00:00Z,2016-03-06T12:00:00-08:00,2018-02-01T13:00:00Z,2018-02-01T05:00:00-08:00,,
